Team,Round Elim,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg,Ratio,Fouls,TO,REB MAR,Pct
Southern Ill.,0,11.4,43.3,69.6,10.55,68.5,5.3,31.6,12.1,3.9,23.21,44.7,69.4,6.8,39.6,13.73,0.94,595,398,-1.5,51.5
St. John's (NY),0,13.5,43.3,72.4,10.21,76.8,8.4,36.4,13.1,6,24.21,46.1,78.7,6.8,37.5,15.18,1.03,688,433,-4.5,42.4
Buffalo,0,14.3,45.1,69.2,12.41,77.7,7.5,33,14.6,4,28.06,41.5,74.2,5.7,34.7,12.81,0.98,735,466,4.7,53.1
Troy,1,13.1,45.6,72.4,11.05,78.1,8.4,35.8,12.5,3.5,25.89,42.8,72.1,6,34,12.51,1.05,654,462,2.6,59.5
Mississippi St.,0,12.1,44.4,68.7,9.69,72.5,7.7,34.7,13.5,4.1,25.72,42.8,71.3,7.5,31.5,14.03,0.89,638,433,-1.6,50
South Dakota St.,1,13.1,45.5,77.1,9.03,76.7,9.1,36,12.9,2.4,26.06,45,77.1,5.1,37.3,11.37,1.01,584,453,0.9,51.4
UC Davis,1,12.8,43.5,67.4,10.11,70.1,6.1,34.8,14.3,3.3,25.42,42.6,69.6,5.6,32.9,13.92,0.9,690,513,1.1,63.9
Jacksonville St.,1,14.1,45.9,71.4,10.14,69.5,7.4,37.7,13.6,3.8,25.4,41.7,67.9,4.5,37.4,10.89,1.03,629,477,3.7,57.1
Eastern Wash.,0,12.4,47.9,77,9.09,79.3,8.3,37.9,12.2,4.8,26.09,44.2,76.2,4.6,37.1,10.56,1.01,679,415,1.2,64.7
Texas,0,11.4,43.9,65,9.79,67.1,5.5,29.2,13.4,4.5,24.52,42.4,68.9,5.8,32.6,12.52,0.85,589,443,-1.5,33.3
UMBC,0,14.9,46.9,74.5,9.03,81.1,9.7,39.3,12.1,2.4,26.26,45.4,77.2,6.6,35.4,12.85,1.24,625,410,-0.1,61.8
UNI,0,9.9,39.9,73.3,6.07,61.8,7.6,32.6,11.4,2.8,23.37,42.9,64.4,6.6,36.3,13.83,0.87,464,342,-7.3,46.7
Loyola Marymount,0,14.8,44.4,61.9,11.07,70.4,7.2,35.3,13.2,4,22.97,44.9,70.8,7.6,34.7,14.9,1.12,610,395,-0.7,50
UT Martin,0,15.9,46.8,68.8,12.94,76.9,8.2,35.3,15.1,3.5,24.54,44.4,75.1,6.5,35,13.63,1.05,606,528,4.5,62.9
New Orleans,0,15.7,47.3,71,12.06,72.8,4.3,31.7,16.7,3,23.56,44.1,69.2,7.9,31.6,16.28,0.94,562,534,3.9,62.5
Oklahoma,0,10.6,42.3,72.1,11.65,73,6.2,34.3,13.8,4.7,26.19,43.1,74.2,6.9,36.5,13.42,0.77,601,428,0.5,35.5
Elon,0,14.6,44.5,68.5,9.09,75.1,9.6,35.5,11.7,2.4,28.69,42,71.6,5.2,31.9,11.03,1.25,532,374,0.2,56.3
Toledo,0,16.2,48,69.5,9.97,78.7,7.7,36.2,13.1,2.7,27.5,46.1,75.5,4,32.1,10.32,1.23,575,447,3.9,50
Tennessee St.,0,11.3,44.3,69.2,12.2,71.1,5.7,33.9,15.1,3.4,25.07,40.7,67.7,6.7,34.8,15.7,0.75,633,452,4.7,56.7
Green Bay,0,14,44.3,68.9,12.09,80.2,6.2,32.2,14,4.2,28.91,43.2,77.5,7.8,36,15.16,1,634,448,1.9,56.3
Liberty,0,12.9,43.6,74.2,4.94,66.6,9.1,35.9,10.4,1.9,23.34,43.4,63.4,6.5,33.5,14.26,1.25,671,363,-5.4,60
