Team,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg
Mississippi Val.,1.9,22.59,49.0,83.3,6.8,38.1,14.25
SIUE,2.8,24.00,46.6,76.1,4.7,32.9,13.07
Northern Ariz.,2.0,26.09,45.9,76.1,4.5,33.7,12.06
Coppin St.,2.3,23.38,47.0,78.8,5.7,35.0,13.53
FIU,2.2,23.74,46.5,73.6,6.0,35.4,11.55
North Texas,3.2,25.83,43.2,75.3,6.6,34.1,13.27
Howard,3.7,24.62,42.6,71.6,5.3,35.5,12.53
Idaho St.,2.4,22.19,48.1,80.2,7.2,39.6,12.97
Southern Utah,3.2,25.33,47.8,85.3,5.6,38.4,12.55
Alabama St.,3.2,24.68,44.4,74.4,4.8,34.3,12.65
Longwood,4.1,23.40,47.7,80.3,5.8,39.6,12.67
Central Conn. St.,2.3,21.79,46.8,72.8,5.7,38.0,13.52
Ark.-Pine Bluff,2.9,21.19,44.8,72.5,8.7,31.8,16.72
Presbyterian,2.4,22.63,45.8,74.8,4.8,38.8,11.60
Bethune-Cookman,3.0,23.03,46.9,77.8,7.7,33.5,14.59
St. Francis Brooklyn,2.9,22.23,47.4,73.7,6.7,35.2,13.97
Florida A&M;,3.3,24.73,45.6,78.8,6.6,36.2,14.20
N.C. A&T;,2.2,23.56,44.4,76.1,4.5,37.9,9.72
Alabama A&M;,1.8,21.86,47.4,77.8,3.6,36.3,9.38
