Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
UAB,15.2,46.2,73.6,9.73,71.8,6.2,34.9,13.5
Loyola Maryland,11.7,42.0,69.2,11.58,65.9,5.4,32.9,15.0
Morehead St.,16.1,46.1,72.6,13.20,79.0,7.3,38.6,13.5
Penn,14.3,44.3,65.7,9.54,68.9,8.4,33.9,12.8
Saint Joseph's,11.4,41.8,65.0,11.32,69.5,5.6,32.4,12.0
Idaho,12.8,43.3,72.3,10.97,73.1,7.7,36.7,12.8
N.C. Central,14.1,45.4,68.3,11.68,74.8,7.5,33.5,11.9
SFA,12.4,44.7,72.1,11.45,69.4,5.8,31.9,17.5
Navy,13.5,42.2,64.1,13.25,64.9,6.4,30.7,14.5
Holy Cross,13.5,42.7,69.3,5.91,60.4,7.4,34.5,11.0
Denver,15.1,48.2,73.4,9.10,75.8,7.4,40.2,13.5
Washington,13.2,44.8,65.4,12.94,76.4,7.3,35.4,13.7
Missouri St.,12.2,44.3,70.1,11.42,72.8,8.2,36.4,12.3
San Diego,12.1,40.7,72.1,8.19,65.3,8.3,34.8,12.2
Long Beach St.,13.1,44.0,72.4,11.65,75.0,6.4,35.1,14.4
East Carolina,11.9,39.8,65.7,11.21,63.3,6.5,32.0,13.9
Fordham,13.4,41.6,72.6,8.16,65.3,8.3,33.4,13.1
Montana,13.0,44.9,75.2,9.69,74.7,7.4,35.7,10.8
IUPUI,14.2,45.1,68.3,10.88,78.1,9.0,38.8,12.5
Central Mich.,11.3,42.4,79.1,11.38,88.3,12.5,35.8,11.3
Bradley,11.3,42.3,67.2,9.00,65.5,6.6,35.6,15.1
Boston College,14.8,44.8,68.0,9.13,72.5,8.0,37.4,14.6
North Florida,13.1,45.7,65.5,12.44,77.6,8.7,35.1,15.9
LIU Brooklyn,10.9,43.5,68.7,13.22,71.2,5.8,34.5,14.4
UTEP,14.5,46.9,66.2,7.34,69.3,5.6,34.8,13.3
Radford,12.3,41.3,66.6,12.38,65.3,7.7,34.5,14.7
Western Ky.,12.4,44.0,67.1,9.44,69.0,6.7,35.4,12.1
Pacific,12.0,40.4,67.5,11.67,66.8,5.6,33.0,11.7
